county,city,,primary,cross,street,start_date,start_date_2,end_date,adt_primary,adt_cross,adt_street,citations,Latitude,Longitude
Dallas,Irving,all,SH 161 NBFR,Gateway Drive,SH 161 NBFR & Gateway Drive,7/16/07,, ,,,No traffic data,35930,32.845381,-97.015847
Dallas,Irving,all,State Highway 356,State Highway Loop 12 SBFR,State Highway 356 & State Highway Loop 12 SBFR,7/16/07,, ,33000,,No traffic data,71556,32.812974,-96.953428
Dallas,Irving,all,State Highway 356,Story Road,State Highway 356 & Story Road,10/10/09,, ,23000,17300,40300,61941,32.828511,-96.9764
Collin,Plano,all,Coit Rd,W. Spring Creek Pkwy,Coit Road & W. Spring Creek Parkway,1/31/07,, ,44288,37499,81787,7917,33.056008,-96.770525
Collin,Plano,all,Coit Rd,W. Park Blvd,Coit Road & W. Park Boulevard,6/19/07,, ,48127,36000,84127,2505,33.026852,-96.769988
Collin,Plano,all,NB Dallas Pkwy,Headquarters DR,NB Dallas Parkway & Headquarters Drive,10/1/14,, ,19845,17158,37003,6096,33.056756,-96.730831
Collin,Plano,all,Jupiter Rd,Plano Pkwy,Jupiter Road & Plano Parkway,1/31/07,, ,45000,28574,73574,13974,33.007112,-96.68233
Collin,Plano,all,Legacy Dr,SB Dallas Pkwy,Legacy Drive & SB Dallas Parkway,3/1/06,, ,29011,24455,53466,9460,33.071592,-96.772275
Collin,Plano,all,Legacy Dr WB,Dallas Pkwy NB,Legacy Drive WB & Dallas Parkway NB,10/24/06,, ,31058,24455,55513,13566,33.077573,-96.823965
Collin,Plano,all,Park Blvd,Dallas Pkwy SB,Park Boulevard & Dallas Parkway SB,10/1/14,, ,40270,32999,73269,9813,33.02775,-96.829658
Collin,Plano,all,SH 121 SR NB,Custer Rd,SH 121 SR NB & Custer Road,6/4/07,, ,15091,25288,40379,4172,33.210878,-96.727385
Collin,Plano,all,SH 121 SR NB,Preston Rd/SH 289,SH 121 SR NB & Preston Road/SH 289,12/1/10,, ,,42456,No traffic data,3382,33.096286,-96.805943
Collin,Plano,all,SH 289/Preston Rd,W. Park Blvd,SH 289/Preston Road & W. Park Boulevard,12/1/10,, ,59687,40199,99886,11790,33.311403,-96.781151
Collin,Plano,all,SH 289/Preston Rd,W. Plano Pkwy,SH 289/Preston Road & W. Plano Parkway,6/4/07,, ,59687,31881,91568,5813,33.311403,-96.781151
Collin,Plano,all,SH 289/Preston Rd,W. Spring Creek Pkwy,SH 289/Preston Road & W. Spring Creek Parkway,6/4/07,, ,55387,23398,78785,8022,33.311403,-96.781151
Collin,Plano,all,W. 15 St,Independence Pkwy,W. 15 Street & Independence Parkway,3/1/06,, ,25367,23385,48752,1040,33.01919,-96.749844
Collin,Plano,all,W. Parker Rd,Dallas Pkwy SR SB,W. Parker Road & Dallas Parkway SR SB,1/31/07,, ,28255,10542,38797,2886,33.04513,-96.830055
Collin,Plano,all,W. Plano Pkwy,Dallas Pkwy SR SB,W. Plano Parkway & Dallas Parkway SR SB,1/31/07,, ,20344,41458,61802,6429,33.016446,-96.82968
Collin,Plano,all,W. Park Blvd,Ventura Dr,W. Park Boulevard & Ventura Drive,3/1/06,, ,40199,4118,44317,2274,33.031692,-96.798913
Collin,Plano,all,W. Spring Creek Pkwy,Custer Rd,W. Spring Creek Parkway  & Custer Road,3/1/06,, ,35387,24771,60158,2069,33.059067,-96.733121
Collin,Plano,all,W. Spring Creek Pkwy,Independence Pkwy,W. Spring Creek Parkway & Independence Parkway,8/24/10,,,29983,27984,57967,1938,33.057659,-96.7506
