county_name,county_city_precinct,wet,partly_wet,dry,authorized_beverages,notes,wet_spaces,partly_wet_spaces,,
Dallas,Cockrell Hill,"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",," B-Off, W-Off, DS-Off, RM",,,
Dallas,Combine,,,Dry,Dry,,,,,
Dallas,Coppell (part),"B-Off, W-Off, RM",,,"W:  B-Off, W-Off, RM",,"  B-Off, W-Off, RM",,,
Dallas,Dallas (part),"B-Off, W-Off, RM","B-On, W-On, DS-Off, MB",,"W: B-Off, W-Off, RM:  PW: B-On, W-On, DS-Off, MB",," B-Off, W-Off, RM"," B-On, W-On, DS-Off, MB",,
Dallas,Desoto,"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Dallas,Duncanville,"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Dallas,Farmers Branch,"B-Off, W-Off",MB,,"W: B-Off, W-Off; PW: MB",," B-Off, W-Off", MB,,
Dallas,Ferris (part),"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",Also in Ellis County," B-Off, W-Off, RM",,,
Dallas,Garland (part),"B-Off, W-Off, RM",,,"W:  B-Off, W-Off, RM",,"  B-Off, W-Off, RM",,,
Dallas,Glenn Heights (part),"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",," B-Off, W-Off, DS-Off, RM",,,
Dallas,Grand Prairie (part),"B-On, B-Off, W-On, W-Off, MB",,,"W: B-On, B-Off, W-On, W-Off, MB",," B-On, B-Off, W-On, W-Off, MB",,,
Dallas,Grapevine (part),,,Dry,Dry,,,,,
Dallas,Highland Park,"B-On, B-Off, W-On, W-Off, DS-Off, MB",,,"W: B-On, B-Off, W-On, W-Off, DS-Off, MB",," B-On, B-Off, W-On, W-Off, DS-Off, MB",,,
Dallas,Hutchins,"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",," B-Off, W-Off, DS-Off, RM",,,
Dallas,Irving,"B-Off, W-Off, MB",,,"W: B-Off, W-Off, MB",," B-Off, W-Off, MB",,,
Dallas,Lancaster,"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Dallas,Lewisville (part),"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",Also in Denton County," B-Off, W-Off, DS-Off, RM",,,
Dallas,Mesquite (part),"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Dallas,Ovilla,,,Dry,Dry,,,,,
Dallas,Richardson (part),"B-Off, W-Off, RM",DS-Off,,"W: B-Off, W-Off, RM;  PW: DS-Off",," B-Off, W-Off, RM", DS-Off,,
Dallas,Rowlett (part),"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",Also in Rockwall County," B-Off, W-Off, DS-Off, RM",,,
Dallas,Sachse (part),"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",," B-Off, W-Off, DS-Off, RM",,,
Dallas,Seagoville (part),"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",Also in Kaufman County," B-Off, W-Off, RM",,,
Dallas,Sunnyvale,"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Dallas,University Park,"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Dallas,Wilmer,"B-Off, W-Off, DS-Off",,,"W: B-Off, W-Off, DS-Off",," B-Off, W-Off, DS-Off",,,
Dallas,Wylie (part),"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",," B-Off, W-Off, RM",,,
Denton ,Carrollton (part),"B-On, B-Off, W-On, W-Off, RM",,,"W: B-On, B-Off, W-On, W-Off, RM",Also in Collin and Dallas Counties," B-On, B-Off, W-On, W-Off, RM",,,
Denton ,Lewisville (part),"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",Also in Dallas County," B-Off, W-Off, DS-Off, RM",,,
Ellis,Cedar Hill (part),"B-Off, W-Off",,,"W: B-Off, W-Off",Also in Dallas County.," B-Off, W-Off",,,
Ellis,Ferris,"B-Off, W-Off, RM",,,"W: B-Off, W-Off, RM",Also in Dallas County.," B-Off, W-Off, RM",,,
Kaufman,Seagoville (part),"B-Off, W-Off, RM",,,"W:  B-Off, W-Off, RM",Also in Dallas county,"  B-Off, W-Off, RM",,,
Rockwall,Rowlett (part),"B-Off, W-Off, DS-Off, RM",,,"W: B-Off, W-Off, DS-Off, RM",Also in Dallas county," B-Off, W-Off, DS-Off, RM",,,
