county,city,primary,cross,street,adt_primary,adt_cross,start_date,end_date,citations
TARRANT,FORT WORTH,E. BERRY ST,SOUTH FRWY SOUTHBOUND SVC RD,E. BERRY ST & SOUTH FRWY SOUTHBOUND SVC RD,35132,13327,11/9/09,NOT APPLICABLE,"3,266"
TARRANT,FORT WORTH,E LANCASTER AVE,RIVERSIDE DR,E LANCASTER AVE & RIVERSIDE DR,18240,19197,3/15/08,NOT APPLICABLE,"1,173"
TARRANT,FORT WORTH,E. LANCASTER AVE,SANDY LANE,E. LANCASTER AVE & SANDY LANE,17749,2008,8/26/08,NOT APPLICABLE,"1,805"
TARRANT,FORT WORTH,E. LONG AVE,DEEN RD,E. LONG AVE & DEEN RD,13295,9275,1/1/08,NOT APPLICABLE,"3,195"
TARRANT,FORT WORTH,E. ROSEDALE ST,SOUTH FWY NORTHBOUND SVC RD,E. ROSEDALE ST & SOUTH FWY NORTHBOUND SVC RD,21630,14829,12/13/10,NOT APPLICABLE,"3,533"
TARRANT,FORT WORTH,E. ROSEDALE ST,SOUTH FWY SOUTHBOUND SVC RD,E. ROSEDALE ST & SOUTH FWY SOUTHBOUND SVC RD,27201,19097,12/13/10,NOT APPLICABLE,"3,651"
TARRANT,FORT WORTH,E. ROSEDALE ST,S. HANDLEY DR,E. ROSEDALE ST & S. HANDLEY DR,20388,3024,1/1/09,NOT APPLICABLE,"2,574"
TARRANT,FORT WORTH,EASTCHASE PKWY,MEADOWBROOK BLVD,EASTCHASE PKWY & MEADOWBROOK BLVD,24766,15455,1/1/08,NOT APPLICABLE,"2,945"
TARRANT,FORT WORTH,HWY 157,TRINITY BLVD,HWY 157 & TRINITY BLVD,34625,18052,4/2/12,NOT APPLICABLE,"5,528"
TARRANT,FORT WORTH,HWY 820 OFF RAMP,RANDOL MILL RD,HWY 820 OFF RAMP & RANDOL MILL RD,13881,7799,1/5/12,NOT APPLICABLE,"7,298"
TARRANT,FORT WORTH,I-20 SVC RD,GRANBURY RD,I-20 SVC RD & GRANBURY RD,16008,23862,1/5/12,NOT APPLICABLE,"3,542"
TARRANT,FORT WORTH,INTERSTATE 35W,W. RENDON CROWLEY RD,INTERSTATE 35W & W. RENDON CROWLEY RD,17321,49302,6/7/13,NOT APPLICABLE,"10,343"
TARRANT,FORT WORTH,MCCART AVE,ALTAMESA BLVD,MCCART AVE & ALTAMESA BLVD,33102,20697,10/1/09,NOT APPLICABLE,"6,196"
TARRANT,FORT WORTH,MCCART,WESTCREEK,MCCART & WESTCREEK,36912,9034,1/1/08,NOT APPLICABLE,"3,834"
TARRANT,FORT WORTH,N UNIVERSITY DR,WHITE SETTLEMENT RD,N UNIVERSITY DR & WHITE SETTLEMENT RD,21855,11261,11/1/11,NOT APPLICABLE,"4,187"
TARRANT,FORT WORTH,NE 28TH ST,DECATUR AVE,NE 28TH ST & DECATUR AVE,19907,7970,1/2/09,NOT APPLICABLE,"4,329"
TARRANT,FORT WORTH,NW 25TH ST,CLINTON AVE,NW 25TH ST & CLINTON AVE,5977,5906,10/1/08,NOT APPLICABLE,"2,720"
TARRANT0,FORT WORTH,NW 28TH ST,N. MAIN ST,NW 28TH ST & N. MAIN ST,22155,10861,1/5/12,NOT APPLICABLE,"11,621"
TARRANT,FORT WORTH,SOUTH FWY,SYCAMORE SCHOOL RD,SOUTH FWY & SYCAMORE SCHOOL RD,13058,14807,6/5/13,NOT APPLICABLE,"15,648"
TARRANT,FORT WORTH,SOUTH FWY,E. SEMINARY DR,SOUTH FWY & E. SEMINARY DR,15107,25435,6/11/13,NOT APPLICABLE,"6,869"
TARRANT,FORT WORTH,S. HULEN ST,BELLAIRE,S. HULEN ST & BELLAIRE,30849,12615,1/1/08,NOT APPLICABLE,"1,434"
TARRANT,FORT WORTH,S. HULEN ST,GRANBURY RD,S. HULEN ST & GRANBURY RD,27402,22806,10/1/10,NOT APPLICABLE,"4,215"
TARRANT,FORT WORTH,S. HULEN ST.,OVERTON RIDGE BLVD,S. HULEN ST. & OVERTON RIDGE BLVD,35467,7587,10/1/08,NOT APPLICABLE,"2,771"
TARRANT,FORT WORTH,S. HULEN ST,SW LOOP 820 E/ B OFF RAMP,S. HULEN ST & SW LOOP 820 E/ B OFF RAMP,40382,18336,11/9/09,NOT APPLICABLE,"5,547"
TARRANT,FORT WORTH,S. HULEN ST,SW LOOP 820 WB OFF RAMP,S. HULEN ST & SW LOOP 820 WB OFF RAMP,32674,20544,11/9/09,NOT APPLICABLE,"7,472"
TARRANT,FORT WORTH,SYCAMORE SCHOOL RD,CROWLEY RD,SYCAMORE SCHOOL RD & CROWLEY RD,26754,29554,1/5/12,NOT APPLICABLE,"6,523"
TARRANT,FORT WORTH,SYCAMORE SCHOOL RD,MCCCART AVE,SYCAMORE SCHOOL RD & MCCCART AVE,22622,28103,11/1/11,NOT APPLICABLE,"2,133"
TARRANT,FORT WORTH,TRAIL LAKE DR,SW LOOP 820 SVC RD,TRAIL LAKE DR & SW LOOP 820 SVC RD,14484,17897,10/1/09,NOT APPLICABLE,"4,071"
TARRANT,FORT WORTH,TRINITY BLVD,PRECINCT LINE RD,TRINITY BLVD & PRECINCT LINE RD,10958,9755,10/1/10,NOT APPLICABLE,0
TARRANT,FORT WORTH,TRINITY BLVD,STATE HIGHWAY 360 NBSR,TRINITY BLVD & STATE HIGHWAY 360 NBSR,35850,13812,12/12/09,NOT APPLICABLE,"3,729"
TARRANT,FORT WORTH,TRINITY BLVD,STATE HIGHWAY 360 SBSR,TRINITY BLVD & STATE HIGHWAY 360 SBSR,32036,18686,12/12/09,NOT APPLICABLE,"4,534"
TARRANT,FORT WORTH,W. BELKNAP ST,N. HENDERSON ST,W. BELKNAP ST & N. HENDERSON ST,16631,27303,10/1/09,NOT APPLICABLE,"3,417"
TARRANT,FORT WORTH,W. BERRY ST,HEMPHILL ST,W. BERRY ST & HEMPHILL ST,24597,13407,10/9/12,NOT APPLICABLE,"3,927"
TARRANT,FORT WORTH,WEST FWY SVC RD,ASHLAND AVE,WEST FWY SVC RD & ASHLAND AVE,17080,2540,11/20/09,NOT APPLICABLE,"6,927"
TARRANT,FORT WORTH,W. WEATHERFORD ST,HOUSTON ST,W. WEATHERFORD ST & HOUSTON ST,22558,11379,10/1/08,NOT APPLICALBE,"4,778"
TARRANT,FORT WORTH,WESTERN CENTER BLVD,BEACH ST,WESTERN CENTER BLVD & BEACH ST,22489,31499,1/1/08,NOT APPLICABLE,"6,559"
DALLAS,GARLAND,BELT LINE ROAD,SHILOH ROAD,BELT LINE ROAD & SHILOH ROAD,25752,21134,7/12/06, ,"4,002"
DALLAS,GARLAND,BROADWAY BOULEVARD,CENTERVILLE ROAD,BROADWAY BOULEVARD & CENTERVILLE ROAD,35514,29658,7/14/06, ,"2,908"
DALLAS,GARLAND,BROADWAY BOULEVARD,I.H. 30,BROADWAY BOULEVARD & I.H. 30,39197,16301,5/9/09, ,743
DALLAS,GARLAND,CENTERVILLE ROAD,I.H. 635,CENTERVILLE ROAD & I.H. 635,41498,19608,3/22/16, ,"16,526"
DALLAS,GARLAND,CENTERVILLE ROAD,NW HIGHWAY,CENTERVILLE ROAD & NW HIGHWAY,37823,20778,7/28/06, ,"8,234"
DALLAS,GARLAND,FIRST STREET,KINGSLEY ROAD,FIRST STREET & KINGSLEY ROAD,20654,10515,8/7/06, ,"4,714"
DALLAS,GARLAND,FOREST LANE,JUPITER ROAD,FOREST LANE & JUPITER ROAD,39386,29259,7/6/06, ,"4,616"
DALLAS,GARLAND,JUPITER ROAD,KINGSLEY ROAD,JUPITER ROAD & KINGSLEY ROAD,31992,13183,9/2/03, ,"2,878"
DALLAS,GARLAND,PLANO ROAD,BUCKINGHAM ROAD,PLANO ROAD & BUCKINGHAM ROAD,24005,34507,9/2/03, ,"6,220"
DALLAS,GARLAND,FIRST STREET,AVENUE B,FIRST STREET & AVENUE B,39404,15424,4/24/09, ,885
DALLAS,GARLAND,S.H. 190,SHILOH ROAD,S.H. 190 & SHILOH ROAD,13334,16917,4/24/09, ,"1,462"
DALLAS,GARLAND,SHILOH ROAD,KINGSLEY ROAD,SHILOH ROAD & KINGSLEY ROAD,,,8/5/06,3/26/16,0
Dallas,Irving,Belt Line Road,Pioneer Drive,Belt Line Road & Pioneer Drive,45000,15900,1-May-07, ,"10,897"
Dallas,Irving,Belt Line Road,Rochelle Road,Belt Line Road & Rochelle Road,43300,10900,15-Aug-05, ,"11,930"
Dallas,Irving,MacArthur Boulevard,Interstate Highway 635 WBFR,MacArthur Boulevard & Interstate Highway 635 WBFR,45300,,10-Oct-09, ,"20,252"
Dallas,Irving,O'Connor Road,Lane Steet,O'Connor Road & Lane Steet,30000,,1-May-07, ,"21,719"
Dallas,Irving,State Highway 114 WBFR,MacArthur Boulevard,State Highway 114 WBFR & MacArthur Boulevard,,45700,1-May-16, ,"21,970"
Dallas,Irving,SH 114 WBFR,SH 161 NBFR,SH 114 WBFR & SH 161 NBFR,,,16-Jul-07, ,"54,067"
Dallas,Irving,SH 161 NBFR,Gateway Drive,SH 161 NBFR & Gateway Drive,,,16-Jul-07, ,"35,930"
Dallas,Irving,State Highway 356,State Highway Loop 12 SBFR,State Highway 356 & State Highway Loop 12 SBFR,33000,,16-Jul-07, ,"71,556"
Dallas,Irving,State Highway 356,Story Road,State Highway 356 & Story Road,23000,17300,10-Oct-09, ,"61,941"
Collin,Plano,Coit Rd,W. Spring Creek Pkwy,Coit Rd & W. Spring Creek Pkwy,44288,37499,1/31/07, ,"7,917"
Collin,Plano,Coit Rd,W. Park Blvd,Coit Rd & W. Park Blvd,48127,36000,6/19/07, ,"2,505"
Collin,Plano,NB Dallas Pkwy,Headquarters DR,NB Dallas Pkwy & Headquarters DR,19845,17158,10/1/14, ,"6,096"
Collin,Plano,Jupiter Rd,Plano Pkwy,Jupiter Rd & Plano Pkwy,45000,28574,1/31/07, ,"13,974"
Collin,Plano,Legacy Dr,SB Dallas Pkwy,Legacy Dr & SB Dallas Pkwy,29011,24455,3/1/06, ,"9,460"
Collin,Plano,Legacy Dr WB,Dallas Pkwy NB,Legacy Dr WB & Dallas Pkwy NB,31058,24455,10/24/06, ,"13,566"
Collin,Plano,Park Blvd,Dallas Pkwy SB,Park Blvd & Dallas Pkwy SB,40270,32999,10/1/14, ,"9,813"
Collin,Plano,SH 121 SR NB,Custer Rd,SH 121 SR NB & Custer Rd,15091,25288,6/4/07, ,"4,172"
Collin,Plano,SH 121 SR NB,Preston Rd/SH 289,SH 121 SR NB & Preston Rd/SH 289,,42456,12/1/10, ,"3,382"
Collin,Plano,SH 289/Preston Rd,W. Park Blvd,SH 289/Preston Rd & W. Park Blvd,59687,40199,12/1/10, ,"11,790"
Collin,Plano,SH 289/Preston Rd,W. Plano Pkwy,SH 289/Preston Rd & W. Plano Pkwy,59687,31881,6/4/07, ,"5,813"
Collin,Plano,SH 289/Preston Rd,W. Spring Creek Pkwy,SH 289/Preston Rd & W. Spring Creek Pkwy,55387,23398,6/4/07, ,"8,022"
Collin,Plano,W. 15 St,Independence Pkwy,W. 15 St & Independence Pkwy,25367,23385,3/1/06, ,"1,040"
Collin,Plano,W. Parker Rd,Dallas Pkwy SR SB,W. Parker Rd & Dallas Pkwy SR SB,28255,10542,1/31/07, ,"2,886"
Collin,Plano,W. Plano Pkwy,Dallas Pkwy SR SB,W. Plano Pkwy & Dallas Pkwy SR SB,20344,41458,1/31/07, ,"6,429"
Collin,Plano,W. Park Blvd,Ventura Dr,W. Park Blvd & Ventura Dr,40199,4118,3/1/06, ,"2,274"
Collin,Plano,W. Spring Creek Pkwy,Custer Rd,W. Spring Creek Pkwy & Custer Rd,35387,24771,3/1/06, ,"2,069"
Collin,Plano,W. Spring Creek Pkwy,Independence Pkwy,W. Spring Creek Pkwy & Independence Pkwy,29983,27984,8/24/10,,"1,938"
