county,city,primary,cross,street,start_date,end_date,citations
Dallas,Dallas,Lemmon,Oak Lawn,Lemmon & Oak Lawn,2/24/07, ,919
Dallas,Dallas,Loop 12/Spur 348,Loop 12,Loop 12/Spur 348 & Loop 12,"5/5/2007, 9/2/2009", ,"6,940"
Dallas,Dallas,Loop 12,John West,Loop 12 & John West,4/5/07,2/17/17,"2,683"
Dallas,Dallas,Loop 12,Military,Loop 12 & Military,5/28/11, ,"6,725"
Dallas,Dallas,Loop 12,SH 78,Loop 12 & SH 78,"3/27/2011, 3/27/2011, 3/31/2011", ,"7,535"
Dallas,Dallas,Loop 12,Trammel/Walling,Loop 12 & Trammel/Walling,6/9/11,2/17/17,"1,084"
Dallas,Dallas,Loop 354,Walnut Hill,Loop 354 & Walnut Hill,12/8/15, ,170
Dallas,Dallas,Mockingbird,IH 35 E,Mockingbird & IH 35 E,7/10/07, ,"2,877"
Dallas,Dallas,SH 183,Mockingbird,SH 183 & Mockingbird,8/10/09, ,"2,719"
Dallas,Dallas,US 67,Wheatland,US 67 & Wheatland,12/8/15, ,"1,615"
Dallas,Dallas,US 75,Lemmon,US 75 & Lemmon,3/27/07,2/17/17,603
Dallas,Dallas,US 75,Lovers,US 75 & Lovers,"4/6/2007, 4/21/2007", ,"7,275"
Dallas,Dallas,US 75,Mockingbird,US 75 & Mockingbird,6/3/09, ,"5,883"
TARRANT,FORT WORTH,8TH AVE,ELIZABETH BLVD,8TH AVE & ELIZABETH BLVD,1/1/08,NOT APPLICABLE,"3,626"
TARRANT,FORT WORTH,ALTA MERE DR,CALMONT AVE,ALTA MERE DR & CALMONT AVE,1/1/09,NOT APPLICABLE,"3,671"
TARRANT,FORT WORTH,ALTA MERE DR,CAMP BOWIE BLVD,ALTA MERE DR & CAMP BOWIE BLVD,1/5/12,NOT APPLICABLE,"1,188"
TARRANT,FORT WORTH,BEACH ST,E. LONG AVE,BEACH ST & E. LONG AVE,10/9/10,NOT APPLICABLE,"1,747"
TARRANT,FORT WORTH,BEACH ST,SCOTT AVE,BEACH ST & SCOTT AVE,10/1/08,NOT APPLICABLE,"2,857"
TARRANT,FORT WORTH,BRYANT IRVIN RD,I-20 SVC RD,BRYANT IRVIN RD & I-20 SVC RD,1/4/11,NOT APPLICABLE,"5,669"
TARRANT,FORT WORTH,BRYANT IRVIN RD,W . VICKERY BLVD,BRYANT IRVIN RD & W . VICKERY BLVD,1/1/08,NOT APPLICABLE,"5,952"
TARRANT,FORT WORTH,CAMP BOWIE BLVD,WESTRIDGE AVE,CAMP BOWIE BLVD & WESTRIDGE AVE,11/1/11,NOT APPLICABLE,"2,551"
TARRANT,FORT WORTH,CROWLEY RD,SW LOOP 820,CROWLEY RD & SW LOOP 820,12/11/10,NOT APPLICABLE,"12,873"
TARRANT,FORT WORTH,E. ALLEN AVE,SOUTH FWY NORTHBOUND SVC RD,E. ALLEN AVE & SOUTH FWY NORTHBOUND SVC RD,12/11/10,NOT APPLICABLE,"3,188"
TARRANT,FORT WORTH,E. ALLEN AVE,SOUTH FWY SOUTHBOUND SVC RD,E. ALLEN AVE & SOUTH FWY SOUTHBOUND SVC RD,12/11/10,NOT APPLICABLE,"4,561"
TARRANT,FORT WORTH,E. BERRY ST,SOUTH FRWY NORTHBOUND SVC RD,E. BERRY ST & SOUTH FRWY NORTHBOUND SVC RD,11/9/09,NOT APPLICABLE,"3,690"
TARRANT,FORT WORTH,E. BERRY ST,SOUTH FRWY SOUTHBOUND SVC RD,E. BERRY ST & SOUTH FRWY SOUTHBOUND SVC RD,11/9/09,NOT APPLICABLE,"3,266"
TARRANT,FORT WORTH,E LANCASTER AVE,RIVERSIDE DR,E LANCASTER AVE & RIVERSIDE DR,3/15/08,NOT APPLICABLE,"1,173"
TARRANT,FORT WORTH,E. LANCASTER AVE,SANDY LANE,E. LANCASTER AVE & SANDY LANE,8/26/08,NOT APPLICABLE,"1,805"
TARRANT,FORT WORTH,E. LONG AVE,DEEN RD,E. LONG AVE & DEEN RD,1/1/08,NOT APPLICABLE,"3,195"
TARRANT,FORT WORTH,E. ROSEDALE ST,SOUTH FWY NORTHBOUND SVC RD,E. ROSEDALE ST & SOUTH FWY NORTHBOUND SVC RD,12/13/10,NOT APPLICABLE,"3,533"
TARRANT,FORT WORTH,E. ROSEDALE ST,SOUTH FWY SOUTHBOUND SVC RD,E. ROSEDALE ST & SOUTH FWY SOUTHBOUND SVC RD,12/13/10,NOT APPLICABLE,"3,651"
TARRANT,FORT WORTH,E. ROSEDALE ST,S. HANDLEY DR,E. ROSEDALE ST & S. HANDLEY DR,1/1/09,NOT APPLICABLE,"2,574"
TARRANT,FORT WORTH,EASTCHASE PKWY,MEADOWBROOK BLVD,EASTCHASE PKWY & MEADOWBROOK BLVD,1/1/08,NOT APPLICABLE,"2,945"
TARRANT,FORT WORTH,HWY 157,TRINITY BLVD,HWY 157 & TRINITY BLVD,4/2/12,NOT APPLICABLE,"5,528"
TARRANT,FORT WORTH,HWY 820 OFF RAMP,RANDOL MILL RD,HWY 820 OFF RAMP & RANDOL MILL RD,1/5/12,NOT APPLICABLE,"7,298"
TARRANT,FORT WORTH,I-20 SVC RD,GRANBURY RD,I-20 SVC RD & GRANBURY RD,1/5/12,NOT APPLICABLE,"3,542"
TARRANT,FORT WORTH,INTERSTATE 35W,W. RENDON CROWLEY RD,INTERSTATE 35W & W. RENDON CROWLEY RD,6/7/13,NOT APPLICABLE,"10,343"
TARRANT,FORT WORTH,MCCART AVE,ALTAMESA BLVD,MCCART AVE & ALTAMESA BLVD,10/1/09,NOT APPLICABLE,"6,196"
TARRANT,FORT WORTH,MCCART,WESTCREEK,MCCART & WESTCREEK,1/1/08,NOT APPLICABLE,"3,834"
TARRANT,FORT WORTH,N UNIVERSITY DR,WHITE SETTLEMENT RD,N UNIVERSITY DR & WHITE SETTLEMENT RD,11/1/11,NOT APPLICABLE,"4,187"
TARRANT,FORT WORTH,NE 28TH ST,DECATUR AVE,NE 28TH ST & DECATUR AVE,1/2/09,NOT APPLICABLE,"4,329"
TARRANT,FORT WORTH,NW 25TH ST,CLINTON AVE,NW 25TH ST & CLINTON AVE,10/1/08,NOT APPLICABLE,"2,720"
TARRANT0,FORT WORTH,NW 28TH ST,N. MAIN ST,NW 28TH ST & N. MAIN ST,1/5/12,NOT APPLICABLE,"11,621"
TARRANT,FORT WORTH,SOUTH FWY,SYCAMORE SCHOOL RD,SOUTH FWY & SYCAMORE SCHOOL RD,6/5/13,NOT APPLICABLE,"15,648"
TARRANT,FORT WORTH,SOUTH FWY,E. SEMINARY DR,SOUTH FWY & E. SEMINARY DR,6/11/13,NOT APPLICABLE,"6,869"
TARRANT,FORT WORTH,S. HULEN ST,BELLAIRE,S. HULEN ST & BELLAIRE,1/1/08,NOT APPLICABLE,"1,434"
TARRANT,FORT WORTH,S. HULEN ST,GRANBURY RD,S. HULEN ST & GRANBURY RD,10/1/10,NOT APPLICABLE,"4,215"
TARRANT,FORT WORTH,S. HULEN ST.,OVERTON RIDGE BLVD,S. HULEN ST. & OVERTON RIDGE BLVD,10/1/08,NOT APPLICABLE,"2,771"
TARRANT,FORT WORTH,S. HULEN ST,SW LOOP 820 E/ B OFF RAMP,S. HULEN ST & SW LOOP 820 E/ B OFF RAMP,11/9/09,NOT APPLICABLE,"5,547"
TARRANT,FORT WORTH,S. HULEN ST,SW LOOP 820 WB OFF RAMP,S. HULEN ST & SW LOOP 820 WB OFF RAMP,11/9/09,NOT APPLICABLE,"7,472"
TARRANT,FORT WORTH,SYCAMORE SCHOOL RD,CROWLEY RD,SYCAMORE SCHOOL RD & CROWLEY RD,1/5/12,NOT APPLICABLE,"6,523"
TARRANT,FORT WORTH,SYCAMORE SCHOOL RD,MCCCART AVE,SYCAMORE SCHOOL RD & MCCCART AVE,11/1/11,NOT APPLICABLE,"2,133"
TARRANT,FORT WORTH,TRAIL LAKE DR,SW LOOP 820 SVC RD,TRAIL LAKE DR & SW LOOP 820 SVC RD,10/1/09,NOT APPLICABLE,"4,071"
TARRANT,FORT WORTH,TRINITY BLVD,PRECINCT LINE RD,TRINITY BLVD & PRECINCT LINE RD,10/1/10,NOT APPLICABLE,0
TARRANT,FORT WORTH,TRINITY BLVD,STATE HIGHWAY 360 NBSR,TRINITY BLVD & STATE HIGHWAY 360 NBSR,12/12/09,NOT APPLICABLE,"3,729"
TARRANT,FORT WORTH,TRINITY BLVD,STATE HIGHWAY 360 SBSR,TRINITY BLVD & STATE HIGHWAY 360 SBSR,12/12/09,NOT APPLICABLE,"4,534"
TARRANT,FORT WORTH,W. BELKNAP ST,N. HENDERSON ST,W. BELKNAP ST & N. HENDERSON ST,10/1/09,NOT APPLICABLE,"3,417"
TARRANT,FORT WORTH,W. BERRY ST,HEMPHILL ST,W. BERRY ST & HEMPHILL ST,10/9/12,NOT APPLICABLE,"3,927"
