county,city,primary,cross,street,start_date,start_date_2,end_date,citations,Latitude,Longitude,City,State,Country,Zip,Address components,Relevance
TARRANT,FORT WORTH,BRYANT IRVIN RD,I-20 SVC RD,BRYANT IRVIN RD & I-20 SVC RD,1/4/11,,NOT APPLICABLE,"5,669",32.6689999,-97.4195,Fort Worth,TX,USA,76132,"Bryant Irvin Rd, Fort Worth, TX 76132, United States",1
TARRANT,FORT WORTH,BRYANT IRVIN RD,W . VICKERY BLVD,BRYANT IRVIN RD & W . VICKERY BLVD,1/1/08,,NOT APPLICABLE,"5,952",32.72651,-97.37803,Fort Worth,TX,USA,76107,"W Vickery Blvd, Fort Worth, TX 76107, United States",1
TARRANT,FORT WORTH,CAMP BOWIE BLVD,WESTRIDGE AVE,CAMP BOWIE BLVD & WESTRIDGE AVE,11/1/11,,NOT APPLICABLE,"2,551",32.72828,-97.41636,Fort Worth,TX,USA,76116,"Camp Bowie Blvd & Westridge Ave, Fort Worth, TX 76116, United States",1
TARRANT,FORT WORTH,CROWLEY RD,SW LOOP 820,CROWLEY RD & SW LOOP 820,12/11/10,,NOT APPLICABLE,"12,873",32.66602,-97.34607,Fort Worth,TX,USA,76134,"Crowley Rd & SW Loop 820, Fort Worth, TX 76134, United States",1
TARRANT,FORT WORTH,E. ALLEN AVE,SOUTH FWY NORTHBOUND SVC RD,E. ALLEN AVE & SOUTH FWY NORTHBOUND SVC RD,12/11/10,,NOT APPLICABLE,"3,188",32.72611,-97.32087,Fort Worth,TX,USA,76104,"E Allen Ave & South Fwy, Fort Worth, TX 76104, United States",1
TARRANT,FORT WORTH,E. ALLEN AVE,SOUTH FWY SOUTHBOUND SVC RD,E. ALLEN AVE & SOUTH FWY SOUTHBOUND SVC RD,12/11/10,,NOT APPLICABLE,"4,561",32.72611,-97.32087,Fort Worth,TX,USA,76104,"E Allen Ave & South Fwy, Fort Worth, TX 76104, United States",1
TARRANT,FORT WORTH,E. BERRY ST,SOUTH FRWY NORTHBOUND SVC RD,E. BERRY ST & SOUTH FRWY NORTHBOUND SVC RD,11/9/09,,NOT APPLICABLE,"3,690",32.70638,-97.29091,Fort Worth,TX,USA,76119,"E Berry St S, Fort Worth, TX 76119, United States",1
TARRANT,FORT WORTH,E. BERRY ST,SOUTH FRWY SOUTHBOUND SVC RD,E. BERRY ST & SOUTH FRWY SOUTHBOUND SVC RD,11/9/09,,NOT APPLICABLE,"3,266",32.70592,-97.32096,Fort Worth,TX,USA,76110,"E Berry St & S Freeway, Fort Worth, TX 76110, United States",1
TARRANT,FORT WORTH,E LANCASTER AVE,RIVERSIDE DR,E LANCASTER AVE & RIVERSIDE DR,3/15/08,,NOT APPLICABLE,"1,173",32.7461,-97.30326,Fort Worth,TX,USA,76103,"E Lancaster Ave & Riverside Dr, Fort Worth, TX 76103, United States",1
TARRANT,FORT WORTH,E. LANCASTER AVE,SANDY LANE,E. LANCASTER AVE & SANDY LANE,8/26/08,,NOT APPLICABLE,"1,805",32.73027,-97.20868,Fort Worth,TX,USA,76112,"E Lancaster Ave, Fort Worth, TX 76112, United States",1
TARRANT,FORT WORTH,E. LONG AVE,DEEN RD,E. LONG AVE & DEEN RD,1/1/08,,NOT APPLICABLE,"3,195",32.80526,-97.32579,Fort Worth,TX,USA,76106,"E Long Ave & Deen Rd, Fort Worth, TX 76106, United States",1
TARRANT,FORT WORTH,E. ROSEDALE ST,SOUTH FWY NORTHBOUND SVC RD,E. ROSEDALE ST & SOUTH FWY NORTHBOUND SVC RD,12/13/10,,NOT APPLICABLE,"3,533",32.73068,-97.2167599,Fort Worth,TX,USA,76112,"E Rosedale St, Fort Worth, TX 76112, United States",1
TARRANT,FORT WORTH,E. ROSEDALE ST,SOUTH FWY SOUTHBOUND SVC RD,E. ROSEDALE ST & SOUTH FWY SOUTHBOUND SVC RD,12/13/10,,NOT APPLICABLE,"3,651",32.73265,-97.32011,Fort Worth,TX,USA,76104,"E Rosedale St & South Fwy, Fort Worth, TX 76104, United States",1
TARRANT,FORT WORTH,E. ROSEDALE ST,S. HANDLEY DR,E. ROSEDALE ST & S. HANDLEY DR,1/1/09,,NOT APPLICABLE,"2,574",32.7308,-97.21887,Fort Worth,TX,USA,76112,"E Rosedale St & S Handley Dr, Fort Worth, TX 76112, United States",1
TARRANT,FORT WORTH,EASTCHASE PKWY,MEADOWBROOK BLVD,EASTCHASE PKWY & MEADOWBROOK BLVD,1/1/08,,NOT APPLICABLE,"2,945",32.75702,-97.16758,Fort Worth,TX,USA,76120,"Eastchase Pkwy & Meadowbrook Blvd, Fort Worth, TX 76120, United States",1
TARRANT,FORT WORTH,HWY 157,TRINITY BLVD,HWY 157 & TRINITY BLVD,4/2/12,,NOT APPLICABLE,"5,528",32.81659,-97.0996,Euless,TX,USA,76040,"S Highway 157 & Trinity Blvd, Euless, TX 76040, United States",1
TARRANT,FORT WORTH,HWY 820 OFF RAMP,RANDOL MILL RD,HWY 820 OFF RAMP & RANDOL MILL RD,1/5/12,,NOT APPLICABLE,"7,298",32.7783,-97.2126399,Fort Worth,TX,USA,76120,"I-820 & Randol Mill Rd, Fort Worth, TX 76120, United States",1
TARRANT,FORT WORTH,I-20 SVC RD,GRANBURY RD,I-20 SVC RD & GRANBURY RD,1/5/12,,NOT APPLICABLE,"3,542",32.67507,-97.38084,Fort Worth,TX,USA,76133,"I-20 & Old Granbury Rd, Fort Worth, TX 76133, United States",1
TARRANT,FORT WORTH,INTERSTATE 35W,W. RENDON CROWLEY RD,INTERSTATE 35W & W. RENDON CROWLEY RD,6/7/13,,NOT APPLICABLE,"10,343",32.5774351,-97.3221305,Fort Worth,TX,USA,76028,"101 W Rendon Crowley Rd, Fort Worth, TX 76028, United States",1
TARRANT,FORT WORTH,MCCART AVE,ALTAMESA BLVD,MCCART AVE & ALTAMESA BLVD,10/1/09,,NOT APPLICABLE,"6,196",32.64962,-97.36748,Fort Worth,TX,USA,76133,"McCart Ave & Altamesa Blvd, Fort Worth, TX 76133, United States",1
TARRANT,FORT WORTH,MCCART,WESTCREEK,MCCART & WESTCREEK,1/1/08,,NOT APPLICABLE,"3,834",32.65508,-97.36192,Fort Worth,TX,USA,76133,"McCart Ave & Westcreek Dr, Fort Worth, TX 76133, United States",1
TARRANT,FORT WORTH,N UNIVERSITY DR,WHITE SETTLEMENT RD,N UNIVERSITY DR & WHITE SETTLEMENT RD,11/1/11,,NOT APPLICABLE,"4,187",32.75915,-97.36115,Fort Worth,TX,USA,76107,"N University Dr & White Settlement Rd, Fort Worth, TX 76107, United States",1
TARRANT,FORT WORTH,NE 28TH ST,DECATUR AVE,NE 28TH ST & DECATUR AVE,1/2/09,,NOT APPLICABLE,"4,329",32.79512,-97.337,Fort Worth,TX,USA,76106,"NE 28th St & Decatur Ave, Fort Worth, TX 76106, United States",1
TARRANT,FORT WORTH,NW 25TH ST,CLINTON AVE,NW 25TH ST & CLINTON AVE,10/1/08,,NOT APPLICABLE,"2,720",32.78989,-97.35285,Fort Worth,TX,USA,76164,"NW 25th St & Clinton Ave, Fort Worth, TX 76164, United States",1
TARRANT0,FORT WORTH,NW 28TH ST,N. MAIN ST,NW 28TH ST & N. MAIN ST,1/5/12,,NOT APPLICABLE,"11,621",32.79522,-97.34909,Fort Worth,TX,USA,76164,"NW 28th St & N Main St, Fort Worth, TX 76164, United States",1
TARRANT,FORT WORTH,SOUTH FWY,SYCAMORE SCHOOL RD,SOUTH FWY & SYCAMORE SCHOOL RD,6/5/13,,NOT APPLICABLE,"15,648",32.635,-97.32106,Fort Worth,TX,USA,76134,"South Fwy & Sycamore School Rd, Fort Worth, TX 76134, United States",1
TARRANT,FORT WORTH,SOUTH FWY,E. SEMINARY DR,SOUTH FWY & E. SEMINARY DR,6/11/13,,NOT APPLICABLE,"6,869",32.68442,-97.32064,Fort Worth,TX,USA,76115,"South Fwy & E Seminary Dr, Fort Worth, TX 76115, United States",1
TARRANT,FORT WORTH,S. HULEN ST,BELLAIRE,S. HULEN ST & BELLAIRE,1/1/08,,NOT APPLICABLE,"1,434",32.70422,-97.38902,Fort Worth,TX,USA,76109,"S Hulen St & Bellaire Dr S, Fort Worth, TX 76109, United States",1
TARRANT,FORT WORTH,S. HULEN ST,GRANBURY RD,S. HULEN ST & GRANBURY RD,10/1/10,,NOT APPLICABLE,"4,215",32.65925,-97.39963,Fort Worth,TX,USA,76133,"S Hulen St & Granbury Rd, Fort Worth, TX 76133, United States",1
TARRANT,FORT WORTH,S. HULEN ST.,OVERTON RIDGE BLVD,S. HULEN ST. & OVERTON RIDGE BLVD,10/1/08,,NOT APPLICABLE,"2,771",32.67501,-97.39797,Fort Worth,TX,USA,76132,"S Hulen St & Overton Ridge Blvd, Fort Worth, TX 76132, United States",1
TARRANT,FORT WORTH,S. HULEN ST,SW LOOP 820 E/ B OFF RAMP,S. HULEN ST & SW LOOP 820 E/ B OFF RAMP,11/9/09,,NOT APPLICABLE,"5,547",32.68074,-97.39266,Fort Worth,TX,USA,76132,"S Hulen St & SW Loop 820, Fort Worth, TX 76132, United States",1
TARRANT,FORT WORTH,S. HULEN ST,SW LOOP 820 WB OFF RAMP,S. HULEN ST & SW LOOP 820 WB OFF RAMP,11/9/09,,NOT APPLICABLE,"7,472",32.68074,-97.39266,Fort Worth,TX,USA,76132,"S Hulen St & SW Loop 820, Fort Worth, TX 76132, United States",1
TARRANT,FORT WORTH,SYCAMORE SCHOOL RD,CROWLEY RD,SYCAMORE SCHOOL RD & CROWLEY RD,1/5/12,,NOT APPLICABLE,"6,523",32.6348,-97.34865,Fort Worth,TX,USA,76134,"Sycamore School Rd & Crowley Rd, Fort Worth, TX 76134, United States",1
TARRANT,FORT WORTH,SYCAMORE SCHOOL RD,MCCCART AVE,SYCAMORE SCHOOL RD & MCCCART AVE,11/1/11,,NOT APPLICABLE,"2,133",32.63521,-97.33461,Fort Worth,TX,USA,76134,"Sycamore School Rd, Fort Worth, TX 76134, United States",1
TARRANT,FORT WORTH,TRAIL LAKE DR,SW LOOP 820 SVC RD,TRAIL LAKE DR & SW LOOP 820 SVC RD,10/1/09,,NOT APPLICABLE,"4,071",32.67302,-97.37519,Fort Worth,TX,USA,76133,"Trail Lake Dr & SW Loop 820, Fort Worth, TX 76133, United States",1
TARRANT,FORT WORTH,TRINITY BLVD,PRECINCT LINE RD,TRINITY BLVD & PRECINCT LINE RD,10/1/10,,NOT APPLICABLE,0,32.80245,-97.18376,Fort Worth,TX,USA,76118,"Trinity Blvd & Precinct Line Rd, Fort Worth, TX 76118, United States",1
TARRANT,FORT WORTH,TRINITY BLVD,STATE HIGHWAY 360 NBSR,TRINITY BLVD & STATE HIGHWAY 360 NBSR,12/12/09,,NOT APPLICABLE,"3,729",32.82223,-97.06116,Fort Worth,TX,USA,76155,"Trinity Blvd & TX-360, Fort Worth, TX 76155, United States",1
TARRANT,FORT WORTH,TRINITY BLVD,STATE HIGHWAY 360 SBSR,TRINITY BLVD & STATE HIGHWAY 360 SBSR,12/12/09,,NOT APPLICABLE,"4,534",32.82223,-97.06116,Fort Worth,TX,USA,76155,"Trinity Blvd & TX-360, Fort Worth, TX 76155, United States",1
TARRANT,FORT WORTH,W. BELKNAP ST,N. HENDERSON ST,W. BELKNAP ST & N. HENDERSON ST,10/1/09,,NOT APPLICABLE,"3,417",32.75486,-97.33939,Fort Worth,TX,USA,76102,"W Belknap St & N Henderson St, Fort Worth, TX 76102, United States",1
TARRANT,FORT WORTH,W. BERRY ST,HEMPHILL ST,W. BERRY ST & HEMPHILL ST,10/9/12,,NOT APPLICABLE,"3,927",32.70583,-97.33162,Fort Worth,TX,USA,76110,"W Berry St & Hemphill St, Fort Worth, TX 76110, United States",1
TARRANT,FORT WORTH,WEST FWY SVC RD,ASHLAND AVE,WEST FWY SVC RD & ASHLAND AVE,11/20/09,,NOT APPLICABLE,"6,927",32.733809,-97.38407,Fort Worth,TX,Tarrant County,76107,,
TARRANT,FORT WORTH,W. WEATHERFORD ST,HOUSTON ST,W. WEATHERFORD ST & HOUSTON ST,10/1/08,,NOT APPLICALBE,"4,778",32.757157,-97.332901,Fort Worth,TX,Tarrant County,76102,,
TARRANT,FORT WORTH,WESTERN CENTER BLVD,BEACH ST,WESTERN CENTER BLVD & BEACH ST,1/1/08,,NOT APPLICABLE,"6,559",32.861153,-97.290077,Fort Worth,TX,Tarrant County,76137,,
DALLAS,GARLAND,BELT LINE ROAD,SHILOH ROAD,BELT LINE ROAD & SHILOH ROAD,7/12/06,, ,"4,002",32.944587,-96.665304,Garland,TX,Dallas County,75044,,
DALLAS,GARLAND,BROADWAY BOULEVARD,CENTERVILLE ROAD,BROADWAY BOULEVARD & CENTERVILLE ROAD,7/14/06,, ,"2,908",32.880209,-96.623156,Garland,TX,Dallas County,75041,,
DALLAS,GARLAND,BROADWAY BOULEVARD,I.H. 30,BROADWAY BOULEVARD & I.H. 30,5/9/09,, ,743,32.83958,-96.595656,Garland,TX,Dallas County,75043,,
DALLAS,GARLAND,CENTERVILLE ROAD,I.H. 635,CENTERVILLE ROAD & I.H. 635,3/22/16,, ,"16,526",32.85947,-96.644415,Garland,TX,Dallas County,75041,,
DALLAS,GARLAND,CENTERVILLE ROAD,NW HIGHWAY,CENTERVILLE ROAD & NW HIGHWAY,7/28/06,, ,"8,234",32.859475,-96.644636,Garland,TX,Dallas County,75041,,
DALLAS,GARLAND,FIRST STREET,KINGSLEY ROAD,FIRST STREET & KINGSLEY ROAD,8/7/06,, ,"4,714",32.878897,-96.630992,Garland,TX,Dallas County,75041,,
DALLAS,GARLAND,FOREST LANE,JUPITER ROAD,FOREST LANE & JUPITER ROAD,7/6/06,, ,"4,616",32.90916,-96.68304,Garland,TX,Dallas County,75042,,
DALLAS,GARLAND,JUPITER ROAD,KINGSLEY ROAD,JUPITER ROAD & KINGSLEY ROAD,9/2/03,, ,"2,878",32.8788,-96.68318,Garland,TX,Dallas County,75041,,
DALLAS,GARLAND,PLANO ROAD,BUCKINGHAM ROAD,PLANO ROAD & BUCKINGHAM ROAD,9/2/03,, ,"6,220",32.929685,-96.700216,Garland,TX,Dallas County,75042,,
DALLAS,GARLAND,FIRST STREET,AVENUE B,FIRST STREET & AVENUE B,4/24/09,, ,885,32.878843,-96.630918,Garland,TX,Dallas County,75041,,
DALLAS,GARLAND,S.H. 190,SHILOH ROAD,S.H. 190 & SHILOH ROAD,4/24/09,, ,"1,462",32.931523,-96.615821,Garland,TX,Dallas County,75040,,
DALLAS,GARLAND,SHILOH ROAD,KINGSLEY ROAD,SHILOH ROAD & KINGSLEY ROAD,8/5/06,,3/26/16,0,32.878783,-96.665568,Garland,TX,Dallas County,75041,,
Dallas,Irving,Belt Line Road,Pioneer Drive,Belt Line Road & Pioneer Drive,1-May-07,, ,"10,897",32.829299,-96.993775,Irving,TX,Dallas County,75061,,
Dallas,Irving,Belt Line Road,Rochelle Road,Belt Line Road & Rochelle Road,15-Aug-05,, ,"11,930",32.847488,-96.992289,Irving,TX,Dallas County,75062,,
Dallas,Irving,MacArthur Boulevard,Interstate Highway 635 WBFR,MacArthur Boulevard & Interstate Highway 635 WBFR,10-Oct-09,, ,"20,252",32.795655,-96.959383,Irving,TX,Dallas County,75060,,
Dallas,Irving,O'Connor Road,Lane Steet,O'Connor Road & Lane Steet,1-May-07,, ,"21,719",32.842852,-96.951308,Irving,TX,Dallas County,75062,,
Dallas,Irving,State Highway 114 WBFR,MacArthur Boulevard,State Highway 114 WBFR & MacArthur Boulevard,1-May-16,, ,"21,970",32.887389,-96.964209,Irving,TX,Dallas County,75039,,
Dallas,Irving,SH 114 WBFR,SH 161 NBFR,SH 114 WBFR & SH 161 NBFR,16-Jul-07,, ,"54,067",32.824764,-96.982449,Irving,TX,Dallas County,75061,,
Dallas,Irving,SH 161 NBFR,Gateway Drive,SH 161 NBFR & Gateway Drive,16-Jul-07,, ,"35,930",32.845381,-97.015847,Irving,TX,Dallas County,75062,,
Dallas,Irving,State Highway 356,State Highway Loop 12 SBFR,State Highway 356 & State Highway Loop 12 SBFR,16-Jul-07,, ,"71,556",32.812974,-96.953428,Irving,TX,Dallas County,75060,,
Dallas,Irving,State Highway 356,Story Road,State Highway 356 & Story Road,10-Oct-09,, ,"61,941",32.828511,96.976403æ,Irving,TX,,,,
Collin,Plano,Coit Rd,W. Spring Creek Pkwy,Coit Rd & W. Spring Creek Pkwy,1/31/07,, ,"7,917",33.056008,-96.770525,Plano,TX,Collin County,75023,,
Collin,Plano,Coit Rd,W. Park Blvd,Coit Rd & W. Park Blvd,6/19/07,, ,"2,505",33.026852,-96.769988,Plano,TX,Collin County,75075,,
Collin,Plano,NB Dallas Pkwy,Headquarters DR,NB Dallas Pkwy & Headquarters DR,10/1/14,, ,"6,096",33.056756,-96.730831,Plano,TX,Collin County,75023,,
Collin,Plano,Jupiter Rd,Plano Pkwy,Jupiter Rd & Plano Pkwy,1/31/07,, ,"13,974",33.007112,-96.68233,Plano,TX,Collin County,75074,,
Collin,Plano,Legacy Dr,SB Dallas Pkwy,Legacy Dr & SB Dallas Pkwy,3/1/06,, ,"9,460",33.071592,-96.772275,Plano,TX,Collin County,75024,,
Collin,Plano,Legacy Dr WB,Dallas Pkwy NB,Legacy Dr WB & Dallas Pkwy NB,10/24/06,, ,"13,566",33.077573,-96.823965,Plano,TX,Collin County,75024,,
